cluster,total_cells,primary_cells,secondary_cells
0,35105,34453,652
1,32054,30592,1462
2,29542,28697,845
3,28669,27108,1561
4,22033,21554,479
5,21536,20444,1092
6,21074,18482,2592
7,20455,19444,1011
8,19248,18881,367
9,18836,18465,371
10,17456,17173,283
11,14675,13957,718
12,13941,13312,629
13,13920,13900,20
14,12673,12657,16
15,12215,12091,124
16,8381,8280,101
17,7755,7572,183
18,5944,5835,109
19,4205,3951,254
20,3839,3708,131
21,1931,1868,63
22,1245,1224,21
23,1201,1154,47
24,1038,1026,12
25,965,962,3
26,826,816,10
27,789,763,26
28,603,585,18
29,290,278,12
30,284,281,3
